prompt,tier
"Analyze which of these two job offers is better based on salary, location, and benefits: Offer 1: Apex Enterprise Solutions (Established Mid-Sized Company). Role & Level: Machine Learning Engineer (L4 / Mid-Level). Work Location: Bengaluru (Hybrid, 3 days/week in office). Base Salary: 16,500,000 per annum. Performance Bonus: Target 15% of base salary, paid annually. Joining Bonus: 2,000,000 (50% in month 1, 50% at 12 months, 1-year clawback). Equity/RSUs: 12,000,000 worth of publicly traded stock vested over 4 years. Health & Wellness: Comprehensive family medical insurance, annual wellness allowance. Learning & Development: 60,000 annual budget. PTO: 22 days Earned Leave + 12 Casual/Sick + 10 Public Holidays. Notice Period: 60 days; non-compete for 6 months post-exit. Offer 2: Neural Labs AI (Series A Fast-Growth Startup). Role & Level: AI Engineer (Founding Team / Senior IC). Work Location: Remote. Base Salary: 13,000,000 per annum. Performance Bonus: Up to 10%, discretionary. Joining Bonus: None. Equity/ESOPs: 0.35% company equity (~25,000,000 paper valuation) with standard 4-year vesting, 1-year cliff. Health & Wellness: Individual health insurance stipend of 400,000/year; 100,000 home office allowance. Learning & Development: 150,000 annual budget for conferences and publications. PTO: Unlimited (minimum 15 required days). Notice Period: 30 days; no post-employment non-compete.",2
"Break down this recipe into prep steps and cook steps: Quick Garlic Butter Shrimp Pasta. Ingredients: 8 oz linguine or fettuccine, 1 lb large shrimp (peeled and deveined), 4 tbsp unsalted butter, 2 tbsp olive oil, 4 cloves garlic (minced), half tsp red pepper flakes, quarter cup fresh lemon juice, half cup grated Parmesan, quarter cup fresh parsley, salt and pepper to taste. Instructions: Cook the pasta in salted boiling water until al dente, reserve half cup pasta water before draining. Sear the shrimp in olive oil and butter over medium-high heat, 1-2 minutes per side, then set aside. Make the sauce by sauteing garlic and red pepper flakes in the same skillet for 1 minute. Add lemon juice and reserved pasta water, simmer 1-2 minutes. Toss in pasta, shrimp, Parmesan, and parsley until coated evenly, adjust seasoning, and serve immediately.",2
"Summarize this legal disclaimer in plain English: Disclaimer: The content provided herein is for educational and informational purposes only and does not constitute formal professional, financial, legal, or technical advice. While every effort is made to ensure accuracy, industry standards and software specifications change rapidly. You should consult a qualified professional or perform independent testing before making decisions based on this material. Reliance on any information provided is solely at your own risk.",2
"Classify this product review's tone: sarcastic, genuine, or angry: ""Oh great, another update that breaks everything. Love it.""",2
Compare two smartphones based on specs and recommend one for a budget-conscious buyer.,2
"Summarize the main argument of this opinion piece: We have turned human existence into an endless series of deliverables. We track our sleep, turn hobbies into side hustles, and optimize every free minute, treating downtime like a bug in the system rather than a necessity. This relentless drive for constant productivity comes at a massive cost. It leads to chronic burnout and actively kills creativity. History's greatest breakthroughs rarely come from staring at a to-do list; they happen when the brain has room to wander. Doing nothing isn't a waste of time, it's cognitive maintenance. Step off the hustle treadmill, leave space in your schedule, and allow yourself to be idle. We are human beings, not continuous processing engines.",2
"Organize this list of expenses into categories: groceries, rent, gas, movie tickets, electricity bill",2
Analyze why a marketing campaign might have underperformed based on given metrics.,2
Summarize the key differences between a resume and a CV.,2
"Classify this support message by urgency: low, medium, high: ""My account has been locked and I can't access my files for a client deadline tomorrow.""",2
Break down the steps to set up a home Wi-Fi network for a beginner.,2
"Summarize this product's key features into 3 bullet points: Designed for uncompromising sound and daily versatility, the AuraSound Pro Wireless Headphones combine custom 40mm beryllium drivers for ultra-crisp audio with active hybrid noise cancellation that blocks up to 98% of ambient noise. Built with ultra-lightweight memory foam earcups wrapped in breathable protein leather, they deliver up to 45 hours of continuous playback on a single charge, alongside a rapid-charging feature that gives you 5 hours of listening from just a 10-minute plug-in. Integrated quad-beamforming microphones ensure crystal-clear voice clarity on calls even in windy environments, while Bluetooth 5.3 multipoint connectivity allows seamless switching between your laptop and phone without skipping a beat.",2
Analyze which factors most likely caused a drop in website traffic based on given data.,2
Design a system architecture for a ride-sharing app that handles surge pricing.,3
Write a short story about a robot discovering emotions for the first time.,3
"Given conflicting witness statements, determine which account is most likely accurate and explain your reasoning.",3
"Propose a strategy to reduce customer churn for a subscription-based business, considering budget constraints.",3
Write a persuasive essay arguing for or against universal basic income.,3
"A company's revenue dropped 20% despite increased marketing spend, diagnose likely causes and recommend next steps.",3
"Design a database schema for a hospital management system, considering patient privacy requirements.",3
Write a dialogue between two characters with opposing moral views on a difficult ethical dilemma.,3
Evaluate the tradeoffs between microservices and monolithic architecture for a fast-growing startup.,3
"Given a set of ambiguous project requirements, identify the gaps and propose clarifying questions plus a recommended approach.",3
"Write a poem exploring the theme of impermanence, using nature imagery.",3
"Design an algorithm to detect fraudulent transactions in real-time, balancing false positives and false negatives.",3
"Two team members disagree on technical direction, mediate the conflict and propose a resolution considering both perspectives.",3
Write a screenplay scene where a character must choose between loyalty and truth.,3
Analyze a company's failed product launch and construct a root-cause analysis with supporting evidence.,3
Propose an ethical framework for how an AI system should handle a user in emotional distress.,3
Design a multi-step onboarding flow for a fintech app that minimizes drop-off while meeting compliance requirements.,3
"Write a short story with an unreliable narrator, where the twist is only clear on a second reading.",3
"Given incomplete financial data, estimate a company's likely valuation and justify your assumptions.",3
Critique a proposed business plan for logical flaws and suggest concrete improvements.,3
"Design a content moderation policy that balances free expression with user safety, addressing edge cases.",3
Write a compelling opening chapter for a mystery novel that sets up a red herring.,3
"A startup must choose between two funding offers with different terms, analyze long-term implications and recommend one.",3
"Construct an argument for why a particular historical event unfolded the way it did, using multiple lines of evidence.",3
Design a personalized learning curriculum for a student struggling with math anxiety.,3
Write a nuanced character study of a morally gray antagonist for a novel.,3
"Given a legacy codebase with technical debt, propose a phased refactoring strategy that balances risk and business continuity.",3
Analyze the second-order effects of a proposed policy change on different stakeholder groups.,3
Write a satirical piece critiquing corporate buzzword culture.,3
Propose a go-to-market strategy for a niche product entering a competitive market with limited budget.,3
What is the atomic number of carbon?,1
"Extract the invoice number from: ""Invoice #INV-88213 due June 30.""",1
Convert 250 grams to ounces.,1
What is the tallest mountain in the world?,1
List the planets in our solar system.,1
"Reformat this list alphabetically: zebra, apple, mango, banana",1
What is the square root of 144?,1
"Extract the time from: ""The flight departs at 14:45 on Friday.""",1
Convert 5 feet 8 inches to centimeters.,1
What is the national language of Brazil?,1
"Reformat this as a table header row: name, age, city",1
Who painted the Mona Lisa?,1
"Extract the ZIP code from: ""Ship to 221B Baker Street, London, NW1 6XE""",1
What is 7 factorial?,1
Convert 2 liters to gallons.,1
What is the longest river in the world?,1
"Reformat this into sentence case: ""THIS IS ALL CAPS TEXT""",1
"Extract the product SKU from: ""Item SKU-4471 is now out of stock.""",1
What is the speed of light in km/s?,1
List the seven continents.,1
"Classify this support ticket as urgent or non-urgent: ""The app crashes every time I open it, I can't use it at all.""",2
Summarize the key differences between supervised and unsupervised learning.,2
"Analyze whether this password is strong or weak: ""Summer2024!""",2
Compare the tradeoffs between SQL and NoSQL databases for a small e-commerce app.,2
"Classify this code comment as a TODO, bug report, or explanation: ""// FIXME: this breaks when input is empty""",2
Summarize the main causes of the 2008 financial crisis in 3 sentences.,2
"Organize these skills into technical and soft skills: Python, communication, SQL, teamwork, Docker, leadership",2
Analyze whether this API response indicates success or failure based on the status code and body provided.,2
"Classify this git commit message as a feature, fix, or refactor: ""Fix null pointer exception in payment handler""",2
Summarize the pros and cons of monolithic vs serverless deployment for a small team.,2
Compare in-person and online college degrees in terms of cost and flexibility.,2
"Classify this Slack message by intent: question, request, or FYI: ""Can someone review my PR when they get a chance?""",2
"Summarize what this error message likely means: ""TypeError: cannot read properties of undefined""",2
"Analyze the tone of this manager's feedback: ""Good effort, but the deadline was missed again.""",2
"Organize these interview questions by category: behavioral, technical, situational",2
Compare the advantages of using Docker vs a traditional virtual machine.,2
Summarize the key steps in a typical CI/CD pipeline.,2
"Classify this LinkedIn message as a recruiter outreach, spam, or genuine networking: ""Loved your recent post, would love to connect!""",2
Analyze which resume format (chronological vs functional) suits a career changer better.,2
Summarize what changed between two versions of a changelog.,2
Design a caching strategy for a high-traffic API that balances freshness and performance.,3
Write a short story where the protagonist's biggest strength becomes their downfall.,3
"Given two conflicting code review comments, decide which approach is better and justify it with tradeoffs.",3
Propose a plan to migrate a monolithic app to microservices with minimal downtime.,3
Write a persuasive cover letter for a career changer with no direct industry experience.,3
A user reports intermittent bugs that can't be reproduced — design a systematic debugging strategy.,3
Design a rate-limiting system for an API that prevents abuse without hurting legitimate high-volume users.,3
Write a dialogue between a founder and investor negotiating equity terms.,3
"Given a tight deadline and incomplete requirements, propose how to scope an MVP responsibly.",3
Construct a technical argument for why a team should adopt TypeScript over plain JavaScript.,3
Design an experiment to test whether a new onboarding flow improves user retention.,3
LeetCode 3536 – make changes in my code,3
Find the maximum product of two digits in a number (Python 2),2
External monitor connected but laptop screen is not displaying,2
Unique XOR Triplets II – optimize after TLE,3
Docker Desktop API connection failed after docker system prune -a,2
How to make a project using Codex,2
Convert my PDF into a table without changing anything,1
FD vs AD in NIFT,2
Jobs in India after NIFT,2
NIFT Kannur spot round cutoff branch-wise,1
Open category cutoff for NIFT Kannur,1
Kangra NIFT information,1
Rank all NIFT colleges,2
NIFT Bhopal review,2
People's choice ranking of NIFTs,2
Is NIFT Raebareli good based on placements?,2
Convert another choice-filled PDF into a table (57 rows),1
My NIFT rank is 5235. Suggest preference order for FC > AD > FD,3
Explain NIFT 2026 spot round in detail,2
I withdrew my NIFT Kolkata seat. How much do I pay for spot round?,2
What happens if I don't get a seat in spot round?,1
Spot round statistics for FC/AD/FD (NRI) in top 7 NIFTs,2
Can I change from NRI to Open category now?,1
LeetCode 3499 – Maximize Active Section After Trade,3
3 Sum problem (Python 2),2
String to list in Python,1
Shift 2D Grid – optimized Python 2 solution,3
Solve the uploaded exam paper in detail,3
LeetCode 1081 – Smallest Subsequence of Distinct Characters (Python 2),3
I am changing my internship role to Software Developer. What should I write?,2
My tech stack is Python and FastAPI,1
Best websites for making YouTube thumbnails,1
Tell me how to get into Google in 1 year as an SDE,3
How long does it take for an L1 engineer to reach L6?,2
What about reaching L6 in the Product Management field?,2
What DBMS topics are important for SDE interviews?,1
What are the prerequisites for learning System Design?,1
What are the prerequisites for High-Level Design (HLD)?,1
Which Operating System topics are important for SDE interviews?,1
Analyze my resume against the Microsoft Software Engineering Intern job description,3
Explain what work I could do as a Software Developer Intern at Unicorn Designs,2
Write resume points with measurable impact for my internship,3
Create a Codex prompt to build an impressive AI project,3
Suggest an AI project to impress the SuperKalam internship recruiters,2
Can I add Voice AI Agents to my internship project?,1
Help me fix Docker Desktop/Linux Engine not starting,2
Analyze my disk usage and tell me what to delete,2
Build a complete 75-day roadmap to become a Generative AI Engineer,3
Create a day-by-day DSA roadmap based on Striver's Sheet,3
What skills are mandatory for a Generative AI Engineer in 2026?,1
Review and improve my Mailwise (MailBuddy) project README,3
Rename Mailwise and improve its project description for my resume,2
"Compare Anthropic Claude, GPT, Gemini, and Groq for AI development",2
"Which AI certifications should I pursue (AWS, Microsoft, IBM)?",2
Review my GenAI Engineer roadmap,3
Combine two AI courses into a single learning roadmap,3
Create a 3-month day-by-day AI + DSA study plan,3
Suggest daily DSA targets to reach 400+ LeetCode problems,2
How many LeetCode problems should I solve every day?,1
Explain LangGraph and when to use it,2
Explain RAG architecture with an example,2
How should I structure a production-grade FastAPI project?,2
Improve my Placement Performance Analytics Platform project,3
Suggest features for the TPO dashboard,2
Suggest features for the Student dashboard,2
Design Company Requirement Cards for placement analytics,3
Review my Medical Image Forgery Detection project,3
Improve my project descriptions for my resume,2
Write ATS-friendly resume bullet points with impact metrics,3
Help me improve my LinkedIn profile,2
Suggest high-impact AI projects for my resume,2
Give me hackathon ideas using Agentic AI,2
Suggest real-world AI problems worth solving,2
Help me write an email to a hackathon organizer,2
Analyze why my hackathon team was rejected,3
Fix StreamlitDuplicateElementKey error,2
Fix ModuleNotFoundError in my FastAPI/Streamlit project,2
Resolve OpenAI Python authentication errors,2
Explain Dockerizing a FastAPI + Streamlit application,2
Recommend the best tech stack for AI applications in 2026,2
What should I learn to become a ₹30 LPA+ AI Engineer?,3
Create a roadmap to become a ₹50 LPA+ AI/ML Engineer,3
